id,floor,opening_width_mm,opening_height_mm,leaves,appearance,basis
Gym_west_door0,GYM,1595.8,2134,2,vision,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Gym_west_door1,GYM,1702.2,2134,2,vision,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Gym_south_door0,GROUND,1595.8,2134,2,vision,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Classrooms_north_door0,GROUND,957.5,2134,1,vision,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Classrooms_north_door1,GROUND,957.5,2134,1,vision,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Office111_north_door0,GROUND,957.5,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Classrooms_south_door2,GROUND,1063.9,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Lab_west_door0,GROUND,1063.9,2134,1,vision,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Lab_west_door1,GROUND,1915.0,2134,2,vision,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Lab_north_door0,GROUND,957.5,2134,1,vision,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Lab_north_door2,GROUND,957.5,2134,1,vision,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Lab_east_door0,GROUND,1170.3,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Vestibule_internal_door0,GROUND,1915.0,2134,2,glazed,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Vestibule_external_door0,GROUND,1915.0,2134,2,glazed,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Gallery_south_door0,GROUND,1010.7,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Admissions_west_door0,GROUND,1063.9,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Fitness_south_door1,UPPER,1811.7,2134,2,glazed,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Fitness_south_door3,UPPER,1811.7,2134,2,glazed,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Toilet213_east_door0,UPPER,1065.7,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Toilet216_east_door0,UPPER,1065.7,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Toilet211_east_door0,UPPER,1065.7,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Toilet212_east_door0,UPPER,1065.7,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Service214_south_door0,UPPER,1065.7,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Storage215_south_door0,UPPER,1065.7,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Collab219_north_door0,UPPER,1065.7,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
StairB_upper_north_door0,UPPER,1811.7,2134,2,vision,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
LiftB_upper_s_door0,UPPER,1172.3,2134,1,lift,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Upper_classrooms_north_door0,UPPER,1065.7,2134,1,glazed,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Upper_classrooms_north_door1,UPPER,1065.7,2134,1,glazed,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Upper_classrooms_north_door2,UPPER,1065.7,2134,1,glazed,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Class208_east_door0,UPPER,1065.7,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
IT_Admin_north_door0,UPPER,1065.7,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
IT_Admin_north_door1,UPPER,1065.7,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
IT205_west_door0,UPPER,1065.7,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Admin_east_door0,UPPER,1065.7,2134,1,solid,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
Terrace_access_wall_door0,UPPER,1811.7,2134,2,glazed,Opening traced in A101/A102. Leaf pairing by plan width; finish/hardware inferred without door schedule.
